# Band Plan for Gqrx
# minFrequency,maxFrequency,modulation,step,color,name
9000,14000,USB,10,#aabd26,Radionavigation
90000,110000,USB,10,#aabd26,Radionavigation
135700,137800,CW,10,#009470,2200m Ham Band
190000,200000,USB,10,#c05017,Aeronautical Radionavigation
200000,275000,USB,10,#c05017,Aeronautical Radionavigation
275000,285000,USB,10,#c05017,Aeronautical Radionavigation
275000,285000,USB,10,#4c8e75,Maritime Radionavigation (Radio Beacons)
285000,300000,USB,10,#4c8e75,Maritime Radionavigation (Radio Beacons)
285000,300000,USB,10,#c05017,Aeronautical Radionavigation (Radio Beacons)
300000,325000,USB,10,#4c8e75,Maritime Radionavigation (Radio Beacons)
300000,325000,USB,10,#c05017,Aeronautical Radionavigation (Radio Beacons)
325000,335000,USB,10,#4c8e75,Maritime Radionavigation (Radio Beacons)
325000,335000,USB,10,#c05017,Aeronautical Radionavigation (Radio Beacons)
335000,405000,USB,10,#c05017,Aeronautical Radionavigation (Radio Beacons)
405000,415000,USB,10,#aabd26,Radionavigation
415000,495000,USB,10,#c05017,Aeronautical Radionavigation
472000,479000,CW,10,#009470,630m Ham Band
510000,535000,USB,10,#c05017,Aeronautical Radionavigation (Radio Beacons)
1800000,2000000,CW,10,#009470,160m Ham Band
3500000,3600000,CW,10,#009470,80m CW/Data Ham Band
3600000,4000000,CW,10,#009470,80m Phone Ham Band
5351500,5366500,USB,10,#009470,60m Ham Band
7000000,7125000,CW,10,#009470,40m CW/Data Ham Band
7125000,7300000,LSB,10,#009470,40m Phone Ham Band
10100000,10150000,CW,10,#009470,30m CW/Data Ham Band
14000000,14150000,CW,10,#009470,20m CW/Data Ham Band
14150000,14350000,USB,10,#009470,20m Phone Ham Band
18068000,18110000,CW,10,#009470,17m CW/Data Ham Band
18110000,18168000,USB,10,#009470,17m Ham Band
21000000,21200000,CW,10,#009470,15m CW/Data Ham Band
21200000,21450000,USB,10,#009470,15m Ham Band
24890000,24930000,CW,10,#009470,12m CW/Data Ham Band
24930000,24990000,USB,10,#009470,12m Ham Band
26960000,27410000,AM,5000,#ff0000,CB
27410000,27540000,AM,5000,#888888,Business/CAP
28000000,28300000,CW,10,#009470,10m CW/Data Ham Band
28300000,29700000,USB,10,#009470,10m Ham Band
29700000,30000000,NFM,10000,#009470,10m Ham FM
30000000,32000000,NFM,12500,#888888,Federal Gov VHF-Lo
32000000,33000000,NFM,12500,#ff6666,Military Tactical
33000000,34000000,NFM,12500,#ff6666,Public Safety VHF-Lo
34000000,35000000,NFM,12500,#ff6666,Public Safety VHF-Lo
35000000,36000000,NFM,12500,#cc00cc,Business VHF-Lo
36000000,37000000,NFM,12500,#888888,Federal Gov VHF-Lo
37000000,38000000,NFM,12500,#888888,Federal/Radio Astronomy
38000000,39000000,NFM,12500,#ff6666,Public Safety VHF-Lo
39000000,40000000,NFM,12500,#ff6666,Public Safety VHF-Lo
40000000,42000000,NFM,12500,#888888,Federal Gov VHF-Lo
42000000,43690000,NFM,12500,#ff6666,Public Safety VHF-Lo
43690000,44610000,NFM,12500,#cc00cc,Business VHF-Lo
44610000,46610000,NFM,12500,#ff6666,Public Safety VHF-Lo
46610000,47000000,NFM,12500,#cc00cc,Business VHF-Lo
47000000,49600000,NFM,12500,#cc00cc,Business/Ind VHF-Lo
